program,Age,Gender,Civil State,District,Work Experience,OL-A,OL-B,OL-C,OL-S,AL stream,AL-A,AL-B,AL-C,AL-S
Bachelor of Industrial Studies Honours - Agriculture,23,Female,Single,Kandy,1-2 years,3,4,0,2,Mathematics,2,0,0,1
Bachelor of Technology - Computer Engineering,23,Male,Single,Kurunegala,2-3 years,3,6,0,0,Arts,2,0,0,1
Bachelor of Technology - Civil Engineering,22,Female,Single,Badulla,1-2 years,5,3,0,1,Mathematics,0,0,2,1
Bachelor of Technology - Electronic and Communication Engineering,21,Male,Single,Mannar,No experience,2,3,1,3,Arts,1,1,1,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,26,Male,Single,Colombo,No experience,3,2,2,2,Mathematics,3,0,0,0
Bachelor of Software Engineering Honours,26,Female,Single,Kalutara,1-2 years,0,8,0,1,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,21,Male,Single,Gampaha,2-3 years,1,6,0,2,Mathematics,1,1,1,0
Bachelor of Technology - Computer Engineering,21,Male,Married,Badulla,0-1 years,9,0,0,0,Mathematics,2,0,0,1
Bachelor of Technology - Electronic and Communication Engineering,25,Female,Married,Vavuniya,More than 3 years,7,0,2,0,Biology,1,0,0,2
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,20,Female,Married,MullaitivuColombo,More than 3 years,2,0,2,5,Arts,1,0,0,2
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,20,Male,Single,Trincomalee,More than 3 years,8,0,1,0,Mathematics,2,0,0,1
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,25,Female,Single,Colombo,0-1 years,1,8,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,20,Female,Married,Kalutara,1-2 years,5,0,0,4,Mathematics,0,0,0,3
Bachelor of Industrial Studies Honours – Apparel Production and Management,19,Male,Married,Kalutara,More than 3 years,1,1,3,4,Biology,0,3,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,19,Male,Married,Kandy,2-3 years,1,8,0,0,CommerceArts,2,1,0,0
Bachelor of Industrial Studies Honours - Agriculture,21,Female,Married,Colombo,More than 3 years,1,2,1,5,Mathematics,2,0,1,0
Bachelor of Technology - Electrical Engineering,26,Male,Married,Monaragala,No experience,0,9,0,0,Biology,2,0,1,0
Bachelor of Technology - Mechatronics Engineering,24,Male,Married,Kurunegala,More than 3 years,4,4,0,1,Mathematics,3,0,0,0
Bachelor of Technology - Electrical Engineering,21,Female,Single,Kandy,1-2 years,0,5,2,2,Mathematics,1,2,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,19,Male,Married,Colombo,2-3 years,3,1,3,2,Arts,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,21,Male,Single,Colombo,1-2 years,0,1,6,2,Biology,0,0,2,1
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,23,Male,Married,Colombo,0-1 years,8,0,1,0,Mathematics,1,2,0,0
Bachelor of Technology - Electrical Engineering,23,Male,Single,Colombo,No experience,2,6,1,0,CommerceMathematics,1,2,0,0
Bachelor of Technology - Electrical Engineering,23,Male,Single,Nuwara Eliya,2-3 years,2,5,2,0,CommerceMathematics,3,0,0,0
Bachelor of Technology - Mechanical Engineering,23,Male,Married,Colombo,No experience,6,2,1,0,Mathematics,2,1,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,21,Female,Single,Kurunegala,1-2 years,5,4,0,0,Mathematics,1,2,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,20,Female,Married,Ratnapura,2-3 years,4,2,0,3,Biology,1,2,0,0
Bachelor of Technology - Mechatronics Engineering,22,Male,Married,Trincomalee,0-1 years,7,2,0,0,Mathematics,2,0,1,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,19,Female,Single,Matale,0-1 years,3,6,0,0,Mathematics,2,1,0,0
Bachelor of Technology - Electrical Engineering,22,Male,Single,Kandy,No experience,9,0,0,0,CommerceMathematics,0,0,1,2
Bachelor of Technology - Electronic and Communication Engineering,20,Male,Married,Matale,0-1 years,6,2,0,1,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours - Agriculture,26,Female,Married,Kurunegala,2-3 years,8,1,0,0,Biology,1,0,0,2
Bachelor of Industrial Studies Honours – Apparel Production and Management,19,Male,Married,Vavuniya,2-3 years,1,8,0,0,Mathematics,0,1,2,0
Bachelor of Technology - Electrical Engineering,24,Female,Married,Colombo,1-2 years,9,0,0,0,Mathematics,0,1,1,1
Bachelor of Technology - Mechatronics Engineering,24,Male,Single,Kandy,1-2 years,9,0,0,0,Mathematics,2,0,1,0
Bachelor of Technology - Electronic and Communication Engineering,22,Female,Married,Trincomalee,No experience,9,0,0,0,Mathematics,1,2,0,0
Bachelor of Technology - Electronic and Communication Engineering,21,Male,Single,Kandy,1-2 years,5,2,1,1,Mathematics,0,2,0,1
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,23,Male,Married,Mannar,No experience,5,0,2,2,Arts,3,0,0,0
Bachelor of Technology - Electrical Engineering,19,Male,Single,Mannar,0-1 years,6,0,0,3,Mathematics,1,0,2,0
Bachelor of Technology - Electronic and Communication Engineering,24,Female,Married,Jaffna,More than 3 years,1,0,6,2,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,22,Male,Single,Vavuniya,0-1 years,4,2,2,1,Mathematics,3,0,0,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,20,Female,Married,Badulla,More than 3 years,2,3,4,0,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours - Agriculture,22,Female,Single,Colombo,More than 3 years,7,0,1,1,Arts,1,1,0,1
Bachelor of Technology - Electrical Engineering,19,Male,Single,Gampaha,1-2 years,9,0,0,0,Mathematics,2,1,0,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,19,Female,Single,Mullaitivu,1-2 years,4,4,0,1,Mathematics,0,3,0,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,21,Female,Married,Vavuniya,More than 3 years,9,0,0,0,Mathematics,3,0,0,0
Bachelor of Software Engineering Honours,24,Female,Single,Gampaha,1-2 years,9,0,0,0,Mathematics,2,0,0,1
Bachelor of Technology - Electronic and Communication Engineering,20,Male,Single,Gampaha,0-1 years,6,3,0,0,Mathematics,0,3,0,0
Bachelor of Technology - Electrical Engineering,20,Female,Married,Kurunegala,No experience,7,0,2,0,Mathematics,2,0,0,1
Bachelor of Technology - Mechatronics Engineering,24,Male,Single,Anuradhapura,More than 3 years,0,4,0,5,Mathematics,2,1,0,0
Bachelor of Software Engineering Honours,25,Female,Single,Galle,0-1 years,6,2,0,1,Mathematics,2,0,1,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,25,Female,Married,Puttalam,No experience,3,0,4,2,Biology,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,22,Female,Married,Gampaha,No experience,4,1,2,2,Mathematics,1,0,2,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,23,Female,Single,Kilinochchi,No experience,2,7,0,0,Biology,0,3,0,0
Bachelor of Technology - Electrical Engineering,20,Male,Single,Kurunegala,2-3 years,8,0,0,1,Mathematics,1,2,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,19,Male,Married,Gampaha,No experience,9,0,0,0,Mathematics,0,2,0,1
Bachelor of Technology - Computer Engineering,25,Male,Single,Colombo,More than 3 years,7,2,0,0,Mathematics,1,0,2,0
Bachelor of Technology - Mechatronics Engineering,22,Female,Married,Colombo,2-3 years,7,1,1,0,Biology,1,0,2,0
Bachelor of Technology - Computer Engineering,21,Female,Married,Anuradhapura,0-1 years,9,0,0,0,Mathematics,0,3,0,0
Bachelor of Technology - Electrical Engineering,19,Male,Single,Vavuniya,1-2 years,0,6,2,1,Mathematics,1,0,0,2
Bachelor of Technology - Computer Engineering,22,Male,Single,Kandy,1-2 years,2,3,2,2,Mathematics,3,0,0,0
Bachelor of Technology - Civil Engineering,20,Female,Single,Matale,0-1 years,1,1,2,5,Biology,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,25,Male,Married,Colombo,2-3 years,7,2,0,0,Mathematics,0,1,0,2
Bachelor of Technology - Computer Engineering,20,Female,Married,Colombo,More than 3 years,0,2,5,2,Mathematics,1,1,1,0
Bachelor of Technology - Civil Engineering,19,Male,Married,Kegalle,1-2 years,0,3,3,3,Mathematics,2,0,1,0
Bachelor of Technology - Computer Engineering,20,Male,Married,Mannar,2-3 years,8,0,0,1,Mathematics,0,1,2,0
Bachelor of Industrial Studies Honours - Agriculture,26,Male,Single,Puttalam,0-1 years,4,4,1,0,Mathematics,2,1,0,0
Bachelor of Technology - Electronic and Communication Engineering,25,Male,Single,Jaffna,No experience,8,0,1,0,Mathematics,0,2,0,1
Bachelor of Technology Honours in Engineering – Textile & Clothing,26,Male,Married,Colombo,More than 3 years,8,1,0,0,Mathematics,0,3,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,19,Female,Married,Nuwara Eliya,2-3 years,8,0,0,1,Mathematics,0,3,0,0
Bachelor of Industrial Studies Honours - Agriculture,21,Male,Single,Puttalam,1-2 years,5,1,0,3,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,24,Female,Single,Colombo,1-2 years,6,1,2,0,Mathematics,1,0,2,0
Bachelor of Software Engineering Honours,24,Female,Married,Gampaha,More than 3 years,0,8,1,0,Arts,3,0,0,0
Bachelor of Software Engineering Honours,21,Male,Married,Mullaitivu,No experience,9,0,0,0,Mathematics,2,1,0,0
Bachelor of Technology - Mechanical Engineering,24,Male,Single,Gampaha,1-2 years,7,2,0,0,Mathematics,0,3,0,0
Bachelor of Technology - Mechatronics Engineering,21,Male,Married,Kandy,2-3 years,7,0,2,0,Biology,1,0,2,0
Bachelor of Technology - Computer Engineering,23,Female,Single,Kurunegala,No experience,7,1,1,0,Biology,1,2,0,0
Bachelor of Technology - Civil Engineering,26,Male,Single,Kandy,More than 3 years,9,0,0,0,Mathematics,0,2,0,1
Bachelor of Technology - Electrical Engineering,21,Male,Married,Colombo,1-2 years,0,5,3,1,Mathematics,2,1,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,20,Male,Married,Kurunegala,More than 3 years,2,5,1,1,Mathematics,2,0,1,0
Bachelor of Technology - Computer Engineering,25,Male,Single,Batticaloa,More than 3 years,4,1,1,3,CommerceMathematics,1,2,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,25,Male,Single,Kandy,More than 3 years,1,5,3,0,Mathematics,2,0,1,0
Bachelor of Software Engineering Honours,24,Female,Single,MullaitivuColombo,1-2 years,6,1,2,0,Mathematics,3,0,0,0
Bachelor of Technology - Mechatronics Engineering,24,Male,Single,Colombo,More than 3 years,1,8,0,0,Mathematics,2,0,1,0
Bachelor of Technology - Civil Engineering,23,Female,Married,Colombo,More than 3 years,5,3,1,0,Mathematics,2,0,0,1
Bachelor of Technology - Electronic and Communication Engineering,23,Male,Single,Kurunegala,No experience,7,2,0,0,Mathematics,0,1,2,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,24,Male,Married,Colombo,No experience,1,5,1,2,Biology,2,0,1,0
Bachelor of Technology - Mechanical Engineering,26,Male,Married,Gampaha,1-2 years,3,0,1,5,Mathematics,1,1,0,1
Bachelor of Technology - Electrical Engineering,26,Male,Single,Mullaitivu,2-3 years,7,1,0,1,Mathematics,2,0,0,1
Bachelor of Technology - Mechanical Engineering,20,Male,Married,Gampaha,2-3 years,6,0,3,0,Mathematics,0,1,1,1
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,23,Female,Single,Nuwara Eliya,More than 3 years,8,1,0,0,Mathematics,1,1,1,0
Bachelor of Technology - Electrical Engineering,19,Female,Married,Colombo,2-3 years,8,1,0,0,Arts,1,0,1,1
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,24,Female,Married,Kandy,1-2 years,9,0,0,0,Mathematics,2,1,0,0
Bachelor of Technology - Civil Engineering,21,Female,Single,Kandy,2-3 years,5,0,1,3,Mathematics,0,0,0,3
Bachelor of Software Engineering Honours,23,Female,Single,Kurunegala,0-1 years,1,3,1,4,Mathematics,0,2,1,0
Bachelor of Industrial Studies Honours - Agriculture,22,Male,Married,Trincomalee,2-3 years,0,8,0,1,CommerceMathematics,3,0,0,0
Bachelor of Technology - Mechanical Engineering,23,Female,Married,Kandy,More than 3 years,9,0,0,0,Mathematics,1,1,1,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,26,Female,Married,Gampaha,No experience,2,5,2,0,Mathematics,1,1,1,0
Bachelor of Technology - Electronic and Communication Engineering,20,Male,Single,Polonnaruwa,More than 3 years,1,2,1,5,Mathematics,0,1,0,2
Bachelor of Technology Honours in Engineering – Textile & Clothing,21,Male,Married,Kurunegala,No experience,0,6,0,3,Arts,0,1,1,1
Bachelor of Technology - Mechanical Engineering,26,Male,Single,Polonnaruwa,More than 3 years,7,1,0,1,Arts,1,1,1,0
Bachelor of Technology - Civil Engineering,20,Female,Single,Colombo,0-1 years,5,3,1,0,Mathematics,2,1,0,0
Bachelor of Technology - Computer Engineering,21,Female,Single,Colombo,More than 3 years,0,5,1,3,Mathematics,0,3,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,22,Male,Married,Colombo,More than 3 years,2,7,0,0,Mathematics,3,0,0,0
Bachelor of Technology - Computer Engineering,22,Male,Married,Colombo,0-1 years,9,0,0,0,Mathematics,1,0,0,2
Bachelor of Technology Honours in Engineering – Textile & Clothing,22,Female,Single,Kurunegala,2-3 years,5,4,0,0,CommerceMathematics,2,0,0,1
Bachelor of Technology - Electronic and Communication Engineering,21,Female,Married,Kurunegala,0-1 years,9,0,0,0,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours - Agriculture,26,Female,Married,Kandy,0-1 years,6,2,0,1,Mathematics,0,2,1,0
Bachelor of Technology - Mechanical Engineering,26,Male,Single,Kurunegala,2-3 years,9,0,0,0,Mathematics,1,1,0,1
Bachelor of Software Engineering Honours,19,Female,Single,Anuradhapura,More than 3 years,7,2,0,0,CommerceMathematics,0,1,1,1
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,24,Male,Single,Colombo,0-1 years,0,1,2,6,Mathematics,2,1,0,0
Bachelor of Technology - Civil Engineering,22,Male,Single,Jaffna,No experience,4,4,1,0,Arts,3,0,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,22,Female,Married,Gampaha,0-1 years,8,1,0,0,Mathematics,0,1,0,2
Bachelor of Technology - Mechanical Engineering,23,Male,Married,Gampaha,No experience,9,0,0,0,Mathematics,0,2,0,1
Bachelor of Technology - Electronic and Communication Engineering,20,Male,Single,Gampaha,More than 3 years,2,5,2,0,Mathematics,0,2,0,1
Bachelor of Technology - Computer Engineering,23,Male,Single,Kurunegala,0-1 years,0,9,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,26,Male,Single,Gampaha,2-3 years,0,2,2,5,Biology,1,0,0,2
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,26,Female,Married,Gampaha,0-1 years,0,1,1,7,Biology,0,3,0,0
Bachelor of Industrial Studies Honours - Agriculture,21,Male,Single,Gampaha,More than 3 years,0,7,0,2,CommerceMathematics,2,1,0,0
Bachelor of Technology - Electronic and Communication Engineering,22,Male,Married,Kandy,0-1 years,6,3,0,0,Mathematics,0,1,1,1
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,23,Male,Single,Gampaha,1-2 years,2,1,0,6,Mathematics,0,3,0,0
Bachelor of Technology - Mechatronics Engineering,19,Female,Single,Gampaha,More than 3 years,4,3,0,2,Mathematics,1,2,0,0
Bachelor of Technology - Mechatronics Engineering,25,Male,Single,Mullaitivu,0-1 years,9,0,0,0,Mathematics,3,0,0,0
Bachelor of Technology - Electronic and Communication Engineering,26,Male,Single,Kegalle,0-1 years,6,2,1,0,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,21,Male,Single,Colombo,No experience,2,0,2,5,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours - Agriculture,24,Male,Married,Kandy,More than 3 years,7,1,0,1,Mathematics,0,3,0,0
Bachelor of Technology - Electrical Engineering,25,Male,Married,Kandy,0-1 years,2,4,0,3,Arts,2,1,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,19,Male,Married,Colombo,0-1 years,0,1,0,8,Mathematics,2,1,0,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,26,Female,Married,Kurunegala,1-2 years,9,0,0,0,Mathematics,2,1,0,0
Bachelor of Technology - Electrical Engineering,21,Male,Married,Hambantota,No experience,2,4,3,0,Mathematics,0,0,0,3
Bachelor of Technology - Civil Engineering,19,Male,Single,Colombo,0-1 years,0,6,1,2,Arts,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,20,Female,Single,Badulla,More than 3 years,0,8,0,1,Mathematics,0,2,1,0
Bachelor of Industrial Studies Honours - Agriculture,21,Male,Single,Trincomalee,No experience,7,0,0,2,Mathematics,0,3,0,0
Bachelor of Industrial Studies Honours - Agriculture,22,Male,Married,Polonnaruwa,0-1 years,5,0,0,4,Arts,2,1,0,0
Bachelor of Technology - Computer Engineering,23,Male,Married,Gampaha,No experience,3,0,0,6,Mathematics,3,0,0,0
Bachelor of Technology - Civil Engineering,24,Female,Married,Polonnaruwa,2-3 years,9,0,0,0,Mathematics,1,0,2,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,24,Male,Single,Colombo,2-3 years,2,7,0,0,Mathematics,3,0,0,0
Bachelor of Software Engineering Honours,20,Female,Single,Gampaha,0-1 years,2,7,0,0,Mathematics,0,2,1,0
Bachelor of Technology - Electrical Engineering,25,Male,Married,Trincomalee,More than 3 years,0,1,1,7,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours - Agriculture,23,Male,Single,Mannar,1-2 years,9,0,0,0,Mathematics,2,0,1,0
Bachelor of Technology - Electronic and Communication Engineering,20,Female,Single,Colombo,1-2 years,9,0,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,22,Male,Single,Monaragala,More than 3 years,7,2,0,0,Arts,3,0,0,0
Bachelor of Industrial Studies Honours - Agriculture,25,Female,Single,Gampaha,0-1 years,7,1,0,1,Mathematics,3,0,0,0
Bachelor of Technology - Electronic and Communication Engineering,21,Female,Married,Gampaha,0-1 years,8,1,0,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,23,Male,Married,Kilinochchi,0-1 years,0,3,3,3,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours - Agriculture,25,Male,Single,Anuradhapura,No experience,4,0,4,1,Mathematics,0,1,1,1
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,26,Male,Single,Kandy,2-3 years,0,8,1,0,Mathematics,0,0,3,0
Bachelor of Technology - Mechanical Engineering,23,Male,Single,Gampaha,No experience,7,1,0,1,Mathematics,3,0,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,21,Male,Single,Colombo,More than 3 years,0,6,3,0,Mathematics,3,0,0,0
Bachelor of Technology - Electronic and Communication Engineering,25,Male,Married,Colombo,2-3 years,1,1,2,5,Mathematics,3,0,0,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,25,Male,Married,Kurunegala,2-3 years,9,0,0,0,Mathematics,0,2,0,1
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,20,Female,Single,Colombo,More than 3 years,6,0,2,1,Mathematics,0,3,0,0
Bachelor of Software Engineering Honours,26,Female,Single,Trincomalee,2-3 years,5,0,3,1,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,19,Female,Married,Kurunegala,More than 3 years,6,3,0,0,CommerceMathematics,2,1,0,0
Bachelor of Technology - Mechanical Engineering,26,Female,Single,Kandy,2-3 years,0,2,5,2,Mathematics,3,0,0,0
Bachelor of Technology - Mechatronics Engineering,22,Female,Married,Kandy,More than 3 years,2,0,3,4,Mathematics,3,0,0,0
Bachelor of Technology - Electrical Engineering,21,Female,Married,Hambantota,0-1 years,8,1,0,0,Mathematics,0,0,0,3
Bachelor of Technology - Mechanical Engineering,20,Male,Single,Kurunegala,0-1 years,5,4,0,0,Mathematics,1,2,0,0
Bachelor of Industrial Studies Honours - Agriculture,22,Male,Married,Kurunegala,2-3 years,0,5,1,3,Mathematics,1,0,1,1
Bachelor of Technology - Mechatronics Engineering,20,Female,Married,Vavuniya,No experience,2,5,1,1,CommerceArts,2,1,0,0
Bachelor of Technology - Mechanical Engineering,20,Male,Married,Kandy,No experience,3,5,1,0,Mathematics,0,3,0,0
Bachelor of Industrial Studies Honours - Agriculture,26,Female,Single,Vavuniya,More than 3 years,2,4,0,3,Mathematics,0,3,0,0
Bachelor of Technology - Civil Engineering,21,Male,Married,Kandy,2-3 years,4,3,2,0,CommerceArts,0,1,1,1
Bachelor of Technology Honours in Engineering – Textile & Clothing,21,Female,Married,Colombo,More than 3 years,6,1,2,0,Mathematics,3,0,0,0
Bachelor of Technology - Civil Engineering,25,Female,Single,Kandy,1-2 years,9,0,0,0,Mathematics,0,0,0,3
Bachelor of Technology Honours in Engineering – Textile & Clothing,21,Male,Single,Kilinochchi,2-3 years,5,1,3,0,Arts,0,2,0,1
Bachelor of Industrial Studies Honours - Agriculture,26,Male,Married,Colombo,No experience,3,6,0,0,Mathematics,3,0,0,0
Bachelor of Technology - Electrical Engineering,21,Male,Married,Kandy,1-2 years,9,0,0,0,Mathematics,0,0,0,3
Bachelor of Technology Honours in Engineering – Textile & Clothing,23,Male,Married,Gampaha,More than 3 years,4,1,0,4,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,25,Female,Married,Gampaha,No experience,5,3,1,0,Mathematics,0,2,1,0
Bachelor of Technology - Electrical Engineering,24,Female,Married,Trincomalee,More than 3 years,0,9,0,0,Mathematics,2,1,0,0
Bachelor of Technology - Electronic and Communication Engineering,19,Female,Single,Nuwara Eliya,1-2 years,4,3,1,1,Mathematics,1,2,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,25,Female,Married,Colombo,No experience,6,2,1,0,Mathematics,0,0,3,0
Bachelor of Software Engineering Honours,21,Male,Single,Gampaha,1-2 years,2,7,0,0,Mathematics,3,0,0,0
Bachelor of Technology - Electrical Engineering,21,Female,Single,Kandy,No experience,1,1,2,5,Mathematics,0,0,2,1
Bachelor of Technology - Civil Engineering,23,Female,Single,Colombo,More than 3 years,0,1,7,1,Mathematics,3,0,0,0
Bachelor of Technology - Civil Engineering,21,Male,Single,Gampaha,More than 3 years,9,0,0,0,Mathematics,0,2,1,0
Bachelor of Software Engineering Honours,25,Female,Single,Puttalam,2-3 years,1,2,5,1,Biology,1,0,0,2
Bachelor of Technology - Civil Engineering,23,Male,Married,Trincomalee,0-1 years,6,2,1,0,Mathematics,0,3,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,21,Female,Married,Matara,0-1 years,4,1,0,4,Mathematics,1,2,0,0
Bachelor of Technology - Mechanical Engineering,24,Female,Single,Colombo,2-3 years,4,2,2,1,Mathematics,3,0,0,0
Bachelor of Technology - Electronic and Communication Engineering,20,Male,Single,Kurunegala,0-1 years,7,1,1,0,Mathematics,0,3,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,25,Male,Single,Anuradhapura,1-2 years,2,7,0,0,Mathematics,1,2,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,21,Male,Married,Batticaloa,No experience,8,0,0,1,Arts,3,0,0,0
Bachelor of Technology - Mechanical Engineering,24,Male,Single,Kandy,More than 3 years,3,2,4,0,Mathematics,1,1,0,1
Bachelor of Technology - Mechatronics Engineering,22,Female,Single,Colombo,No experience,8,0,1,0,Mathematics,3,0,0,0
Bachelor of Technology - Electrical Engineering,24,Male,Married,Colombo,1-2 years,5,2,1,1,Mathematics,0,1,2,0
Bachelor of Technology - Mechatronics Engineering,20,Female,Single,Kandy,More than 3 years,1,0,5,3,Arts,0,1,2,0
Bachelor of Technology - Computer Engineering,23,Female,Married,Kurunegala,More than 3 years,8,0,0,1,Mathematics,2,1,0,0
Bachelor of Technology - Computer Engineering,20,Female,Married,Colombo,0-1 years,4,3,0,2,Mathematics,0,3,0,0
Bachelor of Software Engineering Honours,23,Male,Single,Kurunegala,More than 3 years,3,4,1,1,Mathematics,1,0,2,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,20,Male,Single,Gampaha,More than 3 years,7,0,1,1,Mathematics,1,2,0,0
Bachelor of Software Engineering Honours,19,Male,Single,Gampaha,No experience,0,1,0,8,Mathematics,1,0,0,2
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,20,Female,Married,Badulla,2-3 years,1,0,0,8,Mathematics,3,0,0,0
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,20,Female,Single,Colombo,2-3 years,1,4,0,4,Mathematics,1,2,0,0
Bachelor of Technology - Mechatronics Engineering,22,Male,Single,Colombo,2-3 years,4,3,2,0,Mathematics,1,0,1,1
Bachelor of Technology - Mechanical Engineering,25,Female,Single,Colombo,No experience,3,5,0,1,Mathematics,3,0,0,0
Bachelor of Technology - Mechatronics Engineering,23,Female,Married,Kandy,No experience,5,0,0,4,Mathematics,3,0,0,0
Bachelor of Technology - Mechanical Engineering,20,Male,Single,Kurunegala,2-3 years,5,2,0,2,Mathematics,0,1,1,1
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,26,Female,Single,Ampara,More than 3 years,9,0,0,0,Mathematics,0,2,0,1
Bachelor of Technology - Electrical Engineering,25,Male,Married,Galle,0-1 years,6,3,0,0,Biology,3,0,0,0
Bachelor of Technology - Civil Engineering,25,Male,Married,Gampaha,2-3 years,9,0,0,0,Mathematics,2,1,0,0
Bachelor of Technology - Mechatronics Engineering,26,Male,Married,Kurunegala,2-3 years,0,9,0,0,Mathematics,0,0,1,2
Bachelor of Technology - Electrical Engineering,24,Female,Single,Kandy,No experience,4,0,4,1,Mathematics,0,2,0,1
Bachelor of Industrial Studies Honours - Agriculture,26,Female,Married,Matara,1-2 years,1,7,1,0,Mathematics,2,0,0,1
Bachelor of Technology - Computer Engineering,23,Female,Single,Colombo,No experience,1,8,0,0,Mathematics,0,3,0,0
Bachelor of Technology - Electrical Engineering,23,Male,Single,Gampaha,More than 3 years,7,1,0,1,Mathematics,0,2,1,0
Bachelor of Technology - Mechanical Engineering,21,Male,Married,Colombo,1-2 years,5,3,0,1,Mathematics,3,0,0,0
Bachelor of Technology Honours in Engineering – Textile & Clothing,21,Male,Married,Colombo,No experience,9,0,0,0,Mathematics,3,0,0,0
Bachelor of Technology - Electrical Engineering,23,Male,Married,Kalutara,0-1 years,2,4,3,0,Mathematics,1,2,0,0
Bachelor of Technology - Civil Engineering,24,Female,Single,Colombo,No experience,7,2,0,0,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours - Agriculture,21,Female,Single,Kandy,More than 3 years,5,0,3,1,Mathematics,0,2,0,1
Bachelor of Industrial Studies Honours - Agriculture,20,Female,Single,Kurunegala,0-1 years,7,0,2,0,Mathematics,2,0,1,0
Bachelor of Industrial Studies Honours - Agriculture,19,Female,Single,Gampaha,2-3 years,0,9,0,0,Arts,0,0,3,0
Bachelor of Industrial Studies Honours - Agriculture,25,Female,Single,Colombo,2-3 years,4,5,0,0,Mathematics,2,1,0,0
Bachelor of Technology - Electronic and Communication Engineering,21,Female,Married,Kurunegala,More than 3 years,9,0,0,0,Mathematics,1,2,0,0
